"BRANCH_CITY","BRANCH_CODE","BRANCH_NAME","BRANCH_PHONE","BRANCH_STATE","BRANCH_STREET","BRANCH_ZIP","LAST_UPDATED"
"Lakeville",1,"Example Bank","(123)456-5276","MN","Bridle Court","55044","2018-04-18 16:51:47"
"Huntley",2,"Example Bank","(123)461-8993","IL","Washington Street","60142","2018-04-18 16:51:47"
"SouthRichmondHill",3,"Example Bank","(123)498-5926","NY","Warren Street","11419","2018-04-18 16:51:47"
"Middleburg",4,"Example Bank","(123)466-3064","FL","Cleveland Street","32068","2018-04-18 16:51:47"
"KingOfPrussia",5,"Example Bank","(123)484-9701","PA","14th Street","19406","2018-04-18 16:51:47"
"Paterson",7,"Example Bank","(123)414-4890","NJ","Jefferson Street","07501","2018-04-18 16:51:47"
"Pittsford",8,"Example Bank","(123)467-8272","NY","B Street","14534","2018-04-18 16:51:47"
"Wethersfield",9,"Example Bank","(123)467-5219","CT","Jefferson Court","06109","2018-04-18 16:51:47"
"NorthOlmsted",10,"Example Bank","(123)414-5047","OH","Cambridge Road","44070","2018-04-18 16:51:47"
"Hillsborough",11,"Example Bank","(123)436-6354","NJ","3rd Street West","08844","2018-04-18 16:51:47"
"MadisonHeights",12,"Example Bank","(123)486-7175","MI","Mill Road","48071","2018-04-18 16:51:47"
"Oviedo",14,"Example Bank","(123)493-8460","FL","Washington Street","32765","2018-04-18 16:51:47"
"Mechanicsburg",15,"Example Bank","(123)446-2043","PA","Chestnut Street","17050","2018-04-18 16:51:47"
"Plainview",16,"Example Bank","(123)485-7525","NY","Monroe Drive","11803","2018-04-18 16:51:47"
"Paducah",17,"Example Bank","(123)454-6360","KY","Railroad Street","42001","2018-04-18 16:51:47"
"Harleysville",18,"Example Bank","(123)482-4455","PA","Church Street South","19438","2018-04-18 16:51:47"
"SilverSpring",19,"Example Bank","(123)448-4380","MD","King Street","20901","2018-04-18 16:51:47"
"Burnsville",20,"Example Bank","(123)484-0138","MN","Canterbury Drive","55337","2018-04-18 16:51:47"
"Tacoma",21,"Example Bank","(123)436-2433","WA","2nd Avenue","98444","2018-04-18 16:51:47"
"Carlisle",22,"Example Bank","(123)492-2492","PA","Front Street South","17013","2018-04-18 16:51:47"
"Duarte",23,"Example Bank","(123)446-0645","CA","Highland Avenue","91010","2018-04-18 16:51:47"
"Redford",24,"Example Bank","(123)461-7414","MI","Grove Street","48239","2018-04-18 16:51:47"
"NewBaltimore",25,"Example Bank","(123)452-5844","MI","Park Avenue","48047","2018-04-18 16:51:47"
"LakeJackson",26,"Example Bank","(123)435-6462","TX","Chestnut Avenue","77566","2018-04-18 16:51:47"
"WinstonSalem",27,"Example Bank","(123)483-6200","NC","Pin Oak Drive","27103","2018-04-18 16:51:47"
"Midlothian",28,"Example Bank","(123)441-6595","VA","3rd Street West","23112","2018-04-18 16:51:47"
"Glendora",29,"Example Bank","(123)478-5605","CA","School Street","91740","2018-04-18 16:51:47"
"SouthLyon",30,"Example Bank","(123)491-5717","MI","Shady Lane","48178","2018-04-18 16:51:47"
"Carrollton",31,"Example Bank","(123)414-8639","GA","Queen Street","30117","2018-04-18 16:51:47"
"Helena",32,"Example Bank","(123)430-2170","MT","Aspen Court","59601","2018-04-18 16:51:47"
"Loganville",35,"Example Bank","(123)431-6769","GA","Durham Road","30052","2018-04-18 16:51:47"
"ElDorado",36,"Example Bank","(123)468-5988","AR","Spruce Avenue","71730","2018-04-18 16:51:47"
"CapeCoral",37,"Example Bank","(123)477-1676","FL","Lawrence Street","33904","2018-04-18 16:51:47"
"Starkville",38,"Example Bank","(123)481-0167","MS","7th Street","39759","2018-04-18 16:51:47"
"Grandville",39,"Example Bank","(123)420-9297","MI","Devonshire Drive","49418","2018-04-18 16:51:47"
"Jonesboro",40,"Example Bank","(123)429-5270","GA","Franklin Avenue","30236","2018-04-18 16:51:47"
"Youngstown",42,"Example Bank","(123)423-7878","OH","Elmwood Avenue","44512","2018-04-18 16:51:47"
"Houston",43,"Example Bank","(123)475-5992","TX","Ashley Court","77016","2018-04-18 16:51:47"
"Greenville",44,"Example Bank","(123)473-6019","NC","12th Street East","27834","2018-04-18 16:51:47"
"Wilmette",45,"Example Bank","(123)445-3475","IL","Bayberry Drive","60091","2018-04-18 16:51:47"
"Levittown",46,"Example Bank","(123)494-7541","NY","Jones Street","11756","2018-04-18 16:51:47"
"NewBerlin",47,"Example Bank","(123)487-3625","WI","Route 10","53151","2018-04-18 16:51:47"
"Bartlett",48,"Example Bank","(123)410-5725","IL","Cedar Avenue","60103","2018-04-18 16:51:47"
"Chambersburg",49,"Example Bank","(123)415-6589","PA","11th Street","17201","2018-04-18 16:51:47"
"Granger",50,"Example Bank","(123)411-5442","IN","Fairway Drive","46530","2018-04-18 16:51:47"
"Lombard",51,"Example Bank","(123)413-2382","IL","Route 20","60148","2018-04-18 16:51:47"
"ElPaso",52,"Example Bank","(123)424-5465","TX","Fulton Street","79930","2018-04-18 16:51:47"
"Dundalk",53,"Example Bank","(123)432-3802","MD","Manor Drive","21222","2018-04-18 16:51:47"
"RedondoBeach",54,"Example Bank","(123)445-2537","CA","Oak Lane","90278","2018-04-18 16:51:47"
"Rowlett",56,"Example Bank","(123)485-2596","TX","State Street East","75088","2018-04-18 16:51:47"
"Hartsville",57,"Example Bank","(123)477-3812","SC","New Street","29550","2018-04-18 16:51:47"
"Rossville",58,"Example Bank","(123)433-5491","GA","Hickory Street","30741","2018-04-18 16:51:47"
"Waxhaw",59,"Example Bank","(123)484-1134","NC","Country Lane","28173","2018-04-18 16:51:47"
"Richmond",60,"Example Bank","(123)452-4034","VA","Front Street","23223","2018-04-18 16:51:47"
"Oxford",63,"Example Bank","(123)437-2027","MS","York Street","38655","2018-04-18 16:51:47"
